v_1, v_2, v_3, v_4, v_5, v_6, v_7, v_8, v_9, v_10, v_11, v_12, v_13, v_14, v_15, 
-0.213447, -0.294124, 0.374319, -0.296113, -0.00521111, 0.316495, -0.132508, 0.197514, -0.162307, -0.44025, 0.110919, 0.171181, -0.0482187, 0.369952, -0.286629, 
0.400573, 0.230127, 0.0952354, 0.244468, 0.0686546, -0.0150426, -0.21945, 0.519182, 0.0865619, -0.0733014, 0.346147, -0.361699, -0.243255, -0.0503625, -0.265517, 
-0.302277, -0.313206, 0.149992, 0.234804, -0.249847, -0.207766, 0.0302996, 0.117139, 0.609051, 0.14892, 0.0440999, 0.27593, -0.169937, -0.194203, -0.272074, 
0.248378, -0.335731, -0.195653, 0.239509, -0.0113288, -0.208085, 0.506752, 0.246038, -0.215307, -0.056336, 0.0812586, 0.103283, 0.474941, 0.131288, -0.24428, 
0.490538, -0.1331, 0.0530344, 0.0199361, -0.111202, 0.00109096, -0.188484, -0.558586, -0.107702, 0.261728, 0.278073, 0.273177, -0.17477, 0.171181, -0.294465, 
-0.336047, 0.287878, -0.224634, 0.0568619, -0.232423, -0.116204, 0.087663, -0.384521, 0.154254, -0.334269, 0.41337, -0.327955, 0.168924, 0.183447, -0.227255, 
-0.136741, 0.305669, -0.0289489, 0.288349, 0.552356, -0.117383, -0.212999, -0.101454, -0.100102, -0.251356, -0.0871847, 0.436142, 0.125156, -0.22715, -0.301977, 
-0.21686, -0.178928, -0.462671, -0.0172075, 0.0439619, -0.356804, -0.331206, 0.116337, -0.200302, 0.165186, -0.308065, -0.164609, -0.266972, 0.36503, -0.244974, 
-0.0518252, 0.0535314, -0.00661656, 0.200616, -0.538647, 0.291166, -0.430229, 0.0641094, -0.226841, 0.108032, -0.2086, -0.0387875, 0.427157, -0.250397, -0.19263, 
0.146521, -0.362102, -0.32697, -0.234556, 0.2856, 0.37569, 0.0128308, -0.169989, 0.268741, -0.119951, -0.138794, -0.311426, 0.0336092, -0.361365, -0.314742, 
-0.285126, -0.011784, 0.246386, 0.358061, 0.059729, 0.238218, 0.405612, -0.151248, -0.404317, 0.210274, -0.0776934, -0.260403, -0.360405, -0.124232, -0.233305, 
-0.021711, 0.409334, -0.19231, -0.0398714, 0.0682784, 0.4675, 0.200235, 0.160326, 0.292967, 0.372179, -0.113463, 0.198271, 0.07669, 0.417243, -0.218516, 
-0.14984, 0.191796, 0.00562895, -0.628294, -0.0296887, -0.225787, 0.112559, 0.164524, -0.231353, 0.317358, 0.265691, 0.0782187, 0.0444855, -0.363366, -0.299253, 
0.0686278, 0.0429747, 0.562864, -0.0948984, 0.206448, -0.285957, -0.0542534, -0.152616, 0.189978, 0.187948, -0.307729, -0.363557, 0.372126, 0.195422, -0.203804, 
0.297579, 0.288743, 0.0193013, -0.155446, -0.368579, -0.156744, 0.269817, -0.0391659, 0.0270433, -0.399901, -0.511517, 0.098314, -0.279667, -0.0693862, -0.233779, 
