v_1, v_2, v_3, v_4, v_5, v_6, v_7, v_8, v_9, v_10, v_11, v_12, v_13, v_14, v_15, v_16, v_17, v_18, v_19, v_20, 
0.131359, 0.14682, -0.302143, 0.115542, 0.244394, 0.243762, 0.294874, 0.125003, 0.00585102, 0.0583812, -0.448937, 0.193359, -0.236469, 0.188815, -0.146148, -0.359727, -0.141149, -0.0285398, -0.332894, -0.135827, 
-0.176035, 0.391096, -0.0734659, -0.0186945, -0.0243096, 0.423141, 0.222943, -0.27048, -0.110017, 0.168641, 0.123371, -0.125341, 0.333041, -0.396255, -0.0510735, 0.203473, -0.127177, -0.0835176, -0.142629, -0.284471, 
0.343081, 0.188749, -0.270006, 0.0217603, -0.0880794, -0.239043, -0.121274, 0.00609486, 0.240056, 0.0468817, -0.0339579, -0.573688, -0.304071, -0.172008, -0.00592774, 0.0652016, 0.282221, -0.054348, -0.0931217, -0.293035, 
0.107716, 0.261731, -0.0220159, 0.390373, -0.237451, 0.200722, -0.283869, -0.0601955, 0.131392, -0.237038, 0.00998051, 0.027631, 0.29072, 0.346131, 0.283368, -0.263434, 0.0149879, -0.266366, 0.221254, -0.193152, 
-0.0325461, 0.339864, 0.301865, 0.0247739, 0.212847, 0.182471, -0.161127, 0.416978, 0.0513238, 0.0964063, 0.158655, 0.299897, -0.140567, -0.15595, -0.0759112, -0.0616118, 0.451698, 0.253492, 0.139689, -0.211828, 
0.388961, 0.0076669, -0.164864, 0.00509119, 0.0101057, -0.206178, 0.102929, -0.14049, -0.436825, -0.309814, 0.14082, 0.300875, 0.0828122, -0.0580058, 0.350849, 0.0965663, 0.0970406, 0.329429, -0.204753, -0.220475, 
-0.325645, 0.0284842, 0.0717719, -0.0115992, 0.467123, 0.0521553, 0.0131491, -0.0255014, -0.186178, -0.110219, -0.0268817, -0.351347, -0.300066, 0.0750173, 0.475932, -0.0397123, -0.238223, 0.110532, 0.263497, -0.182287, 
0.371865, -0.077056, 0.199286, 0.0855469, 0.129644, 0.14143, 0.189941, 0.0313967, 0.428852, -0.121266, 0.326952, 0.0128552, -0.0735531, 0.207066, -0.169239, 0.299557, -0.431077, 0.182101, 0.0615663, -0.198299, 
0.0627572, -0.308539, 0.264202, -0.344392, -0.299697, 0.158131, 0.15084, 0.0681941, 0.232228, -0.0438807, -0.240222, -0.136128, 0.195086, -0.203878, 0.213382, -0.405576, -0.00528602, 0.291591, -0.00356379, -0.251438, 
0.0881697, -0.322242, 0.0733781, 0.289826, -0.231842, 0.0120668, 0.444206, 0.168722, -0.274617, 0.368585, 0.10391, 0.0385486, -0.1696, 0.0100264, 0.0907185, 0.047255, 0.12503, -0.314703, 0.278093, -0.254417, 
-0.269995, -0.0143254, -0.258351, -0.421014, -0.0745956, 0.0962455, 0.177448, -0.0410328, 0.157576, 0.0162377, -0.00783515, 0.057641, 0.0548474, 0.563969, 0.0679613, 0.316842, 0.369519, 0.0438437, 0.0145074, -0.205089, 
-0.0415201, -0.377053, -0.17976, -0.0805023, 0.249644, 0.173273, -0.0916283, -0.208984, 0.18872, -0.419247, 0.0093469, 0.259844, -0.138226, -0.354799, -0.0975262, 0.00406315, 0.16972, -0.388473, 0.148623, -0.194466, 
-0.302552, 0.160087, 0.0480314, -0.0352733, 0.0605343, -0.624727, 0.154318, 0.166668, 0.287429, 0.0233813, 0.127553, 0.226512, 0.138377, -0.0816707, 0.126285, -0.124609, -0.196304, -0.254896, -0.191679, -0.293066, 
-0.214136, -0.197768, -0.0412907, 0.476632, 0.10131, -0.17137, -0.0172839, 0.0849958, 0.0126791, -0.114386, -0.4424, -0.0898655, 0.331853, -0.0385681, -0.246384, 0.281812, 0.079007, 0.313814, 0.102539, -0.235209, 
0.130442, -0.158006, -0.401704, -0.221478, 0.140308, -0.0534285, -0.411494, 0.0491466, -0.117, 0.444672, 0.110639, 0.0981962, 0.200495, 0.0250548, -0.136621, -0.157477, -0.263338, 0.108749, 0.284662, -0.270705, 
0.0194177, -0.191927, 0.326338, 0.126059, 0.0728667, 0.0610085, -0.368175, -0.350689, 0.117215, 0.409729, -0.18383, 0.173518, -0.137181, 0.0739732, 0.261387, 0.200706, 0.0374257, -0.0559348, -0.403644, -0.16241, 
-0.00226679, 0.30449, 0.0841332, -0.194641, -0.406503, -0.096653, -0.089849, -0.0954212, -0.0763753, -0.0868547, -0.412687, 0.27265, -0.349742, -0.0927125, -0.0713805, 0.247073, -0.285882, 0.00431979, 0.339598, -0.133981, 
-0.205275, -0.184389, -0.0666807, -0.0161217, -0.281686, 0.210381, -0.311284, 0.52176, -0.224538, -0.231172, 0.135312, -0.0995766, -0.127022, 0.0157475, -0.0365758, 0.156435, -0.210428, -0.0948273, -0.405131, -0.186876, 
-0.340524, -0.0503249, -0.02514, 0.205546, -0.254687, -0.0596856, -0.00619141, -0.423269, -0.0379503, -0.042746, 0.328462, 0.00963266, -0.313055, 0.0999429, -0.325584, -0.356623, 0.029914, 0.31614, -0.0596928, -0.18633, 
0.162954, 0.0429515, 0.456595, -0.255434, 0.187846, -0.133205, -0.0359467, -0.113751, -0.378498, -0.147541, -0.0786074, -0.196487, 0.142953, 0.251093, -0.409534, -0.106106, 0.0675785, -0.275476, -0.0516849, -0.274097, 
