v_1, v_2, v_3, v_4, v_5, v_6, v_7, v_8, v_9, v_10, v_11, v_12, v_13, v_14, v_15, v_16, v_17, v_18, v_19, v_20, v_21, v_22, v_23, v_24, v_25, 
-0.212438, 0.264356, 0.046927, 0.264025, -0.043826, -0.211772, 0.228655, 0.0278171, -0.0441415, 0.434902, -0.043999, 0.0938794, 0.307087, 0.374383, -0.0886891, -0.0344538, -0.097039, -0.177005, 0.189252, 0.00336375, -0.145742, 0.157296, -0.0760769, 0.281191, -0.246033, 
-0.120562, -0.296357, 0.0107222, -0.273526, -0.0512392, -0.305996, 0.35264, -0.187436, 0.0908082, -0.0614638, 0.157416, 0.085631, -0.130792, 0.0421661, 0.131644, 0.453745, 0.085509, 0.22402, -0.0099301, 0.118895, 0.265812, 0.0909131, -0.0992704, 0.262356, -0.226905, 
-0.0965914, -0.00514787, -0.158123, 0.0191888, -0.434058, 0.19342, 0.340179, 0.0828117, 0.364973, -0.0813692, -0.00345942, -0.153261, 0.343421, -0.0113118, 0.0107934, -0.13611, 0.0549364, 0.199516, 0.0954959, -0.0531415, 0.0927074, -0.191938, -0.122325, -0.393337, -0.217613, 
0.217383, -0.0953541, 0.0285682, 0.199664, 0.121105, 0.399075, 0.183162, -0.0309663, 0.292013, 0.168024, -0.247596, 0.117456, -0.261026, -0.0993887, 0.203173, 0.098125, 0.136769, -0.212593, -0.192574, -0.320281, -0.099119, 0.0288575, -0.315845, 0.168849, -0.184178, 
0.282718, -0.140245, -0.323181, 0.203579, 0.0881354, 0.0936253, -0.0415628, -0.247273, -0.191532, 0.205804, 0.225227, 0.060537, 0.021769, -0.169982, 0.0689826, -0.145032, -0.503821, 0.287954, -0.0322252, 0.22912, -0.0355829, -0.0851232, -0.165205, 0.0198354, -0.245489, 
-0.00442181, 0.274762, -0.0844431, 0.222054, -0.0782866, 0.210567, 0.280287, 0.0117023, -0.395473, -0.164336, 0.115194, 0.146339, -0.220667, 0.0209368, 0.163654, -0.146956, 0.360709, 0.230604, 0.0340569, -0.0399269, 0.0253225, -0.172616, 0.381436, 0.188863, -0.159823, 
0.0393377, 0.0117936, 0.208009, -0.447144, 0.127422, -0.0399245, -0.168367, -0.117157, -0.01695, -0.0464314, -0.000896362, -0.0403235, 0.101558, 0.359774, 0.407015, -0.343916, -0.0627028, 0.141773, 0.0423999, -0.2821, -0.0948505, -0.313574, -0.134403, 0.132908, -0.138425, 
0.106474, 0.0228379, -0.357757, -0.0324969, 0.259657, -0.0231274, -0.171351, 0.154308, 0.370666, 0.02694, 0.074525, -0.25512, -0.00574007, 0.175459, 0.0796557, -0.300841, 0.314335, 0.0584866, -0.120522, 0.293438, 0.125734, 0.338767, 0.126285, 0.157334, -0.166038, 
0.162165, -0.359629, -0.0310437, 0.240482, 0.107007, -0.366129, -0.0302914, 0.0922258, -0.0688384, -0.206034, 0.2588, -0.105081, 0.241419, -0.0837305, -0.177702, 0.0253423, 0.265067, -0.105608, -0.156672, -0.264516, -0.371796, -0.18344, 0.0240258, 0.0114351, -0.242795, 
-0.247898, -0.143733, 0.0730193, -0.18094, 0.0642204, 0.391834, -0.190435, 0.109014, -0.323317, 0.00729252, 0.0899303, 0.252813, 0.169892, 0.105632, -0.37995, -0.05109, 0.220767, 0.0554286, -0.229831, 0.0587401, 0.169683, 0.105639, -0.3263, -0.0296022, -0.233535, 
-0.390262, -0.00394018, 0.0123627, -0.0992078, -0.0147897, 0.100203, 0.0305906, -0.360147, -0.0695387, -0.282871, -0.0159926, -0.188573, -0.0159275, -0.374314, 0.122228, -0.203265, 0.0336044, -0.235059, 0.23088, 0.149606, -0.345799, 0.271054, -0.115129, 0.0855997, -0.182451, 
0.0670558, 0.412189, -0.124333, -0.0928208, 0.0856719, -0.117622, -0.140341, -0.269893, -0.142314, 0.160054, -0.0475119, -0.295057, 0.132704, -0.263644, -0.0870314, 0.181387, 0.0974944, 0.16477, -0.0533859, -0.49384, 0.252003, 0.205463, -0.0135642, -0.0933858, -0.164459, 
0.265674, 0.0360404, 0.370486, 0.00831148, -0.212761, 0.0299489, -0.201399, -0.235898, 0.100476, 0.127189, -0.196672, -0.209082, -0.254843, 0.118193, -0.358019, 0.0845619, 0.186801, 0.252228, 0.15535, 0.265236, -0.228988, -0.102949, 0.0324405, -0.016212, -0.261623, 
-0.125003, -0.341283, 0.144123, 0.176044, -0.200536, -0.0670529, -0.281237, -0.201065, -0.0860965, 0.33937, -0.0489291, 0.123569, 0.0371002, -0.00982082, 0.394491, -0.0531614, 0.163506, -0.190527, -0.0523772, 0.02083, 0.217631, 0.0771812, 0.311124, -0.322124, -0.177634, 
-0.335051, -0.0335417, -0.15585, 0.0902191, -0.208485, 0.0803486, -0.382381, 0.159365, 0.243277, -0.0889186, 0.228362, 0.00920012, -0.355221, 0.0607752, -0.156791, 0.0639557, -0.296705, -0.0277977, 0.153246, -0.325973, 0.0685552, -0.0763303, 0.153349, 0.194494, -0.254254, 
-0.14731, 0.0479937, 0.151364, -0.233893, 0.394371, 0.0123784, 0.208941, 0.131048, 0.110671, 0.364063, 0.139805, -0.0915464, -0.0822156, -0.350128, -0.164421, -0.0958473, 0.000941068, -0.209514, 0.0634821, 0.12474, 0.132975, -0.431852, 0.196153, -0.0512727, -0.187109, 
-0.184694, 0.241827, 0.131275, 0.144382, 0.345457, 0.216393, -0.133204, 0.070259, 0.0992345, -0.149742, 0.108776, -0.0503554, 0.171252, 0.137531, 0.287369, 0.522506, -0.099456, 0.126533, -0.122693, 0.180301, -0.23706, -0.038147, 0.103258, -0.241544, -0.174016, 
0.125278, -0.110485, 0.344126, -0.00416527, -0.0261015, 0.0389681, -0.0761363, 0.411437, 0.0445944, -0.0596819, -0.229813, 0.118489, 0.31101, -0.401612, 0.0977569, -0.0459215, -0.14356, 0.297558, 0.136969, -0.0320246, 0.048073, 0.2305, 0.193645, 0.300894, -0.14721, 
-0.00115502, 0.266948, -0.122269, -0.225038, -0.0837369, -0.34718, -0.0460561, 0.233451, 0.0657745, 0.0900601, -0.00895739, 0.493218, -0.267762, -0.169442, 0.0720131, -0.0864287, 0.0701766, 0.116073, -0.080668, 0.0180071, -0.325004, 0.132461, -0.13429, -0.331748, -0.183367, 
0.385866, 0.183901, 0.0376788, 0.0404536, 0.0893252, -0.000288816, -0.132137, -0.113144, 0.106177, -0.298268, 0.177204, 0.340325, 0.135106, 0.00849073, -0.00892316, 0.0627795, 0.0880872, -0.341013, 0.485755, 0.0759245, 0.308028, -0.0351315, -0.109432, -0.0628781, -0.166907, 
-0.023704, 0.0197664, 0.367553, 0.201445, 0.222257, -0.140716, 0.262294, -0.140363, 0.0875922, -0.305632, -0.0309948, 0.0291148, -0.183186, 0.152385, -0.178651, -0.316946, -0.295046, 0.0328602, -0.260388, -0.102555, 0.209296, 0.243955, 0.0977625, -0.249138, -0.181017, 
0.0494788, -0.063355, -0.35768, -0.269387, 0.0398769, 0.0665382, 0.0370202, -0.233711, 0.0444603, -0.135589, -0.486416, 0.252753, 0.191341, 0.091168, -0.204348, 0.0947698, -0.141707, -0.145082, -0.152008, -0.0015391, -0.108023, -0.0998142, 0.438583, 0.0514047, -0.183356, 
0.146267, -0.263402, -0.142125, -0.156724, 0.156772, 0.0965175, 0.178989, 0.325056, -0.344489, 0.0356357, -0.131068, -0.253192, -0.204858, 0.216643, 0.0290219, 0.106518, -0.0908095, -0.061956, 0.423942, -0.125737, -0.0635547, 0.235292, 0.0392612, -0.30089, -0.177853, 
-0.188208, 0.0481973, -0.128901, 0.259455, 0.0774765, -0.288927, -0.150016, 0.173486, -0.164863, -0.194713, -0.531563, -0.137988, -0.10128, -0.0531135, 0.0989486, 0.000372481, 0.015733, -0.0135535, -0.0156268, 0.18523, 0.263635, -0.333212, -0.317452, 0.0335025, -0.169629, 
0.260136, 0.21062, 0.100102, -0.205886, -0.413081, 0.0158526, 0.0303563, 0.210422, -0.185272, -0.0775556, 0.13654, -0.25732, -0.0182515, -0.00913946, 0.119492, 0.0729417, -0.191714, -0.414952, -0.405321, 0.167711, 0.0514695, 0.0240599, 0.0103765, 0.0979595, -0.24589, 
