v_1, v_2, v_3, v_4, v_5, v_6, v_7, v_8, v_9, v_10, v_11, v_12, v_13, v_14, v_15, v_16, v_17, v_18, v_19, v_20, v_21, v_22, v_23, v_24, v_25, v_26, v_27, v_28, v_29, v_30, 
-0.04969, 0.152438, 0.0784423, 0.152794, -0.457751, -0.203374, -0.128751, -0.160899, 0.043421, 0.316054, 0.0499121, -0.0487286, -0.0896037, 0.182687, 0.148859, 0.322467, 0.0088069, 0.0087954, -0.166992, -0.029645, 0.336448, -0.0393685, 0.19873, 0.00291969, -0.10378, -0.0344888, -0.293585, -0.0403178, 0.19934, -0.233861, 
0.0848944, 0.0565674, -0.224822, 0.16822, 0.33782, 0.285076, -0.155756, 0.113885, -0.0238052, 0.311083, -0.0582179, 0.0733077, 0.223775, 0.0772063, 0.336995, 0.0785302, -0.158902, -0.0888553, -0.0226935, -0.122944, 0.200569, 0.0834047, 0.0265265, 0.0453767, 0.219457, 0.327823, 0.0306704, 0.28936, -0.137301, -0.194934, 
-0.274099, 0.125687, 0.0381786, -0.0534696, -0.0911773, -0.205136, -0.262217, 0.301322, 0.176684, -0.117467, -0.0350152, -0.157583, 0.0269683, 0.0845517, 0.30505, -0.224406, 0.396251, -0.246942, -0.0673533, 0.138898, -0.170513, 0.00445071, -0.050374, 0.167198, -0.0321091, 0.129787, -0.038983, -0.112165, -0.312626, -0.202728, 
0.0100541, 0.349702, -0.0133013, 0.010633, 0.189013, 0.160366, 0.105446, 0.00658495, 0.406421, 0.00505283, 0.239531, 0.00980554, -0.312248, 0.18106, -0.0195208, -0.188528, -0.0448425, -0.0974533, 0.200387, 0.105112, -0.0275697, -0.179055, -0.298035, -0.233682, 0.0308489, 0.0563437, -0.163975, 0.0274985, 0.331756, -0.187823, 
-0.204915, 0.12894, -0.139037, -0.413368, -0.135361, 0.0521701, -0.146574, -0.0190161, 0.148565, 0.0597724, -0.120624, 0.0793778, -0.327292, -0.200972, -0.0174414, 0.307587, -0.211706, -0.0302541, -0.193565, 0.0112855, -0.142277, 0.106889, -0.139988, 0.0062524, 0.184694, -0.247187, 0.304591, 0.2238, -0.0976083, -0.192905, 
0.135896, -0.197605, 0.0978171, 0.0517335, -0.00290994, -0.300262, -0.0349016, 0.351051, 0.0703974, -0.321333, -0.0293114, 0.255578, -0.0693769, 0.0368214, 0.0784295, -0.0947849, -0.278621, 0.24358, 0.00643751, 0.0765796, 0.222636, -0.123726, -0.125511, 0.415328, 0.0957346, -0.0899411, -0.0944518, 0.229422, 0.143276, -0.156808, 
-0.06223, -0.136068, -0.137547, 0.25016, -0.00272991, -0.156451, -0.448616, -0.210484, 0.100533, -0.0855391, 0.250779, 0.163005, 0.274828, -0.0305157, -0.0558801, 0.0558957, 0.0227709, 0.0363467, 0.172601, 0.227065, -0.0321411, -0.145896, 0.0403886, -0.152194, 0.0964972, -0.0450257, 0.463035, -0.136102, 0.180926, -0.169235, 
0.164658, -0.0469913, -0.155635, -0.183501, 0.135657, -0.307188, 0.400246, -0.113089, 0.153998, -0.11787, 0.190346, -0.209638, 0.0661559, -0.0683023, 0.0927885, -0.0783713, 0.0646517, -0.14468, -0.034519, -0.0613564, 0.466176, 0.118553, 0.0935181, -0.143051, 0.214547, -0.177702, 0.156617, -0.123137, -0.19155, -0.201727, 
0.0744659, 0.159125, 0.0119184, 0.0868277, -0.329807, 0.338392, 0.197205, 0.0439737, -0.181065, 0.0836033, 0.304505, 0.0660009, 0.142261, -0.102033, 0.31108, -0.165676, -0.0765538, 0.0569279, 0.218078, -0.0848926, -0.0600738, 0.0656301, -0.164354, 0.22958, -0.227297, -0.339063, 0.186799, -0.0887101, -0.0847187, -0.192908, 
-0.0778729, -0.0401312, 0.322412, -0.262965, -0.0157109, 0.0795841, -0.154723, 0.154989, -0.367977, -0.0825612, 0.19886, 0.0944989, -0.108672, 0.00669264, -0.0923576, -0.19092, -0.175867, -0.34612, 0.0211891, 0.0443112, 0.13841, 0.369207, 0.222351, -0.0965003, 0.0208252, 0.195485, 0.0711592, -0.071393, 0.27148, -0.164754, 
-0.0492387, -0.350964, 0.0504615, -0.0783956, -0.0864535, 0.0389073, 0.0919726, -0.172864, 0.439769, -0.123047, -0.144246, 0.0377222, 0.158203, -0.126523, 0.0106751, 0.181564, -0.234524, -0.250052, 0.266864, -0.269144, -0.123986, 0.114647, -0.0272087, 0.110753, -0.273999, 0.250913, -0.113648, -0.131426, 0.0137101, -0.206501, 
0.297691, 0.207119, 0.022586, 0.088148, 0.23127, -0.0804837, -0.111829, -0.282233, 0.105384, 0.0895624, -0.0597539, 0.123682, 0.0943023, -0.277739, -0.211961, -0.25963, 0.161071, -0.161808, -0.360018, -0.024842, -0.113352, 0.159077, 0.075566, 0.288115, -0.225269, -0.153806, -0.0608085, 0.152114, 0.145525, -0.199737, 
0.223903, 0.237122, 0.0482946, 0.109637, -0.146411, -0.267708, 0.141597, 0.1345, -0.163985, -0.101781, -0.313534, 0.0020651, 0.084046, -0.1477, 0.0485308, 0.191548, 0.290959, 0.0242821, 0.357902, -0.064102, -0.135253, 0.252446, -0.124099, -0.252233, 0.0615687, 0.0991415, 0.0920807, 0.279481, 0.203808, -0.15653, 
-0.199346, 0.101967, 0.195541, -0.301604, 0.0562779, 0.210373, 0.202806, -0.0748012, 0.131406, -0.18735, 0.0428623, -0.067628, 0.331137, 0.0640583, 0.0618047, 0.074336, 0.109003, 0.362856, -0.0935204, 0.290975, 0.0367887, -0.0775832, 0.305061, -0.0393958, -0.225936, 0.122798, 0.0714621, 0.327765, 0.0739488, -0.147559, 
-0.304361, 0.252866, 0.0920263, 0.154622, -0.0479254, -0.131321, 0.00480124, 0.028488, -0.0418002, -0.104266, 0.0670433, 0.204105, 0.0352312, -0.330947, -0.125006, -0.207872, -0.153963, 0.276545, -0.181806, -0.43266, 0.0807109, -0.135667, -0.0480285, -0.291453, -0.0357745, 0.237078, -0.0228804, -0.0700278, -0.214679, -0.144603, 
-0.302181, -0.166832, -0.0547702, 0.0218467, 0.0718519, 0.148901, 0.0271756, -0.149148, 0.00262684, 0.146774, -0.483684, -0.0778681, -0.179525, -0.0359843, 0.118804, -0.344922, 0.168444, 0.296491, 0.114305, -0.0692595, 0.15972, 0.102267, 0.0525545, 0.110912, 0.1403, -0.0719813, 0.116254, -0.230179, 0.304838, -0.172553, 
