v_1, v_2, v_3, v_4, v_5, v_6, v_7, v_8, v_9, v_10, v_11, v_12, v_13, v_14, v_15, v_16, v_17, v_18, v_19, v_20, v_21, v_22, v_23, v_24, v_25, v_26, v_27, v_28, v_29, v_30, v_31, v_32, v_33, v_34, 
0.355491, 0.386861, -0.31717, 0.277302, -0.554685, 0.197858, 0.171391, -0.0142281, 0.00187519, 5.77992e-18, 0.0671078, -0.14301, 0.0732967, -0.0593337, 0.0380037, -0.0591986, -0.151426, -0.131441, -0.135951, -0.0633228, -0.0230973, 0.078495, -0.164565, -0.186535, -0.346899, 0.308803, 0.20927, 0.521334, 0.0295366, 0.0969005, 0.115899, -0.190207, -0.395818, 0.132739, 
0.26596, 0.26894, -0.124961, 0.107877, -0.0170373, -0.250297, -0.665423, 0.0490603, -0.0415286, 7.46355e-17, 0.0608982, -0.289691, -0.0132354, -0.0398173, -0.118489, 0.086524, 0.136819, 0.277104, 0.139224, 0.147, 0.0421477, -0.157885, 0.174268, 0.123844, -0.225315, 0.159188, -0.286293, 0.0231856, 0.0732627, 0.118476, -0.0585878, 0.0196887, 0.010496, 0.221248, 
0.317193, 0.13116, -0.0272616, -0.539242, -0.133279, -0.246675, 0.106188, -0.0765062, 0.0766132, 2.73139e-17, 0.126318, 0.459633, -0.0134498, -0.117277, -0.207793, 0.0685639, 0.28355, 0.0723104, -0.132426, 0.131568, -0.0566997, -0.17312, -0.184107, -0.111627, -0.155067, -0.510927, -0.251363, 0.0925154, -0.0635413, 0.098596, 0.0429948, -0.201025, 0.16562, 0.26404, 
0.21118, 0.252946, 0.0192224, 0.019907, 0.0544905, -0.22493, 0.0963855, -0.0451547, 0.0646589, 4.15016e-17, -0.747469, 0.107423, -0.162908, 0.0548189, 0.0231254, 0.0403709, 0.0302633, -0.335453, 0.212694, 0.0184599, 0.00672738, 0.126479, 0.113454, 0.178006, -0.249624, 0.0599165, -0.234253, 0.0343151, -0.0344877, -0.780428, -0.077853, 0.215652, -0.0260321, 0.031655, 
0.0759688, 0.133897, 0.0480742, -0.0490782, 0.10327, 0.324837, -0.0346602, 0.0488647, -0.000380044, 0.5, -0.0111007, 0.0141617, -0.00396092, 0.00220758, 0.142315, -0.0393828, 0.177307, -0.11254, -0.369312, 0.0474407, 0.153822, -0.162289, 0.124418, 0.285369, -0.128367, -0.0379631, 0.329317, -0.0748193, -0.0531213, -0.024897, -0.0162261, -0.265996, 0.0792819, -0.173668, 
0.079483, 0.145657, 0.0533759, -0.0590048, 0.130175, 0.424694, -0.0522496, 0.0781963, -0.000700547, 0.5, -0.0372725, 0.149895, -0.0750912, 0.0539382, -0.35002, 0.0559185, -0.210651, 0.127902, 0.197145, -0.0217102, -0.035995, 0.0156763, -0.011961, -0.0133915, -0.153898, -0.0538949, 0.406547, -0.106136, -0.0459035, -0.011837, -0.0695256, 0.19089, 0.0865173, 0.257334, 
0.079483, 0.145657, 0.0533759, -0.0590048, 0.130175, 0.424694, -0.0522496, 0.0781963, -0.000700547, -0.5, -0.0372725, 0.149895, -0.0750912, 0.0539382, -0.35002, 0.0559185, -0.210651, 0.127902, 0.197145, -0.0217102, -0.035995, 0.0156763, -0.011961, -0.0133915, -0.142608, -0.0578167, 0.42471, -0.0915996, -0.0506366, -0.0260085, -0.0802784, 0.196142, 0.102506, 0.206994, 
0.17096, 0.208939, 0.100323, 0.0389092, 0.209121, -0.179682, 0.119576, -0.037603, -0.0486023, -5.70187e-18, 0.292202, 0.0904038, -0.0800356, 0.111912, 0.222365, 0.125784, -0.287122, -0.113898, 0.100132, -0.29493, -0.0502107, -0.300268, 0.145527, 0.0123153, -0.196281, 0.0698149, -0.17695, -0.244928, 0.0203988, 0.220933, -0.130355, 0.119606, -0.0947303, -0.279003, 
0.227404, -0.0550146, 0.22045, 0.0908616, 0.121807, -0.0150015, -0.302532, 0.160218, -0.0397872, 9.94785e-18, -0.137584, 0.13025, 0.272856, 0.236898, 0.172851, 0.252404, 0.0237716, 0.0860657, -0.291119, -0.282648, -0.306413, 0.27884, -0.3867, -0.0269563, 0.086954, 0.105974, -0.00896277, -0.119519, -0.0156086, -0.105324, 0.23275, -0.262588, 0.14745, -0.308713, 
0.102674, -0.0481065, 0.122169, 0.250202, -0.000696941, -0.0728268, -0.0199466, 0.00519821, -0.0797662, -3.3216e-17, -0.0552094, 0.285129, -0.0708396, -0.00847209, 0.0414992, -0.223052, -0.114603, 0.186583, -0.144369, 0.137336, 0.0767263, 0.00532877, 0.153382, -0.141353, 0.0715675, 0.25718, 0.00929917, 0.0427853, 0.0642434, -0.0104671, -0.0971285, -0.103645, 0.0451091, -0.180774, 
0.0759688, 0.133897, 0.0480742, -0.0490782, 0.10327, 0.324837, -0.0346602, 0.0488647, -0.000380044, -0.5, -0.0111007, 0.0141617, -0.00396092, 0.00220758, 0.142315, -0.0393828, 0.177307, -0.11254, -0.369312, 0.0474407, 0.153822, -0.162289, 0.124418, 0.285369, -0.138203, -0.0302643, 0.341082, -0.0785452, -0.0464497, -0.031448, -0.0309246, -0.298567, 0.068337, -0.161223, 
0.0528557, 0.0777286, 0.0706828, -0.0804254, 0.178316, 0.0678406, -0.0703166, -0.00616178, -0.000896869, 2.86086e-17, -0.0397631, -0.0962277, 0.0504431, 0.0410877, -0.031871, -0.0546472, 0.14531, -0.127433, -0.162952, 0.0799119, -0.0375052, 0.187013, 0.392927, -0.623007, -0.0835232, -0.0452405, 0.0750259, -0.182094, -0.0121352, -0.142674, 0.0426719, -0.164966, 0.147991, 0.0201676, 
0.0842546, 0.128551, 0.066399, -0.086199, 0.160798, -0.00928244, -0.109861, -0.025717, -0.031822, 1.39727e-17, 0.403132, -0.0239457, -0.0616706, 0.00312638, -0.0512646, -0.0173801, 0.116269, -0.452658, 0.0919838, 0.0566159, -0.0265813, 0.488349, 0.122036, -0.0284859, -0.133487, -0.0790953, -0.0241489, -0.101874, 0.0320768, 0.446215, -0.119552, 0.0922351, 0.121391, 0.004365, 
0.226473, 0.13448, 0.216416, 0.132715, 0.165578, -0.16793, 0.143195, 0.000727811, -0.0917259, -1.87362e-17, 0.311839, 0.0662571, -0.141619, 0.0222272, 0.0896031, -0.16056, -0.129627, 0.00257915, 0.11449, 0.00844173, 0.118584, 0.117518, -0.140677, 0.243786, -0.14588, 0.17448, -0.191015, -0.13078, 0.102901, 0.184076, -0.188994, 0.103064, 0.00552873, -0.135161, 
0.101403, -0.139669, 0.178794, -0.00257184, -0.162383, 0.0245193, -0.0436172, 0.111831, 0.0313454, -2.02111e-17, 0.00969128, -0.00634184, 0.0643914, 0.0653302, -0.0481561, -0.0234292, 0.0663423, -0.100516, 0.113153, -0.0744603, 0.198169, -0.05389, 0.00587157, -0.0257827, 0.155819, -0.00606166, -0.010114, 0.165268, -0.0547793, 0.0273138, 0.0731025, 0.138783, 0.150323, -0.0117524, 
0.101403, -0.139669, 0.178794, -0.00257184, -0.162383, 0.0245193, -0.0436172, 0.111831, 0.0313454, -2.02111e-17, 0.00969128, -0.00634184, 0.0643914, 0.0653302, -0.0481561, -0.0234292, 0.0663423, -0.100516, 0.113153, -0.0744603, 0.198169, -0.05389, 0.00587157, -0.0257827, 0.155819, -0.00606166, -0.010114, 0.165268, -0.0547793, 0.0273138, 0.0731025, 0.138783, 0.150323, -0.0117524, 
